sheepx,sheepy,wolfx,wolfy,grassx,grassy
526,718,526,5,526,60.75
527,763,527,5,527,54.75
528,801,528,5,528,47.75
529,838,529,5,529,48.75
530,892,530,5,530,49
531,959,531,5,531,49.75
532,1001,532,5,532,49.25
533,1015,533,7,533,49
534,1023,534,9,534,51.25
535,1053,535,9,535,59.75
536,1074,536,9,536,58.75
537,1059,537,9,537,60
538,1027,538,9,538,58.5
539,1040,539,10,539,67.75
540,1040,540,11,540,69
541,1048,541,11,541,72.25
542,1058,542,12,542,75.25
543,1075,543,14,543,76
544,1066,544,15,544,79.5
545,1075,545,15,545,79.75
546,1085,546,15,546,82.25
547,1090,547,15,547,79.75
548,1076,548,15,548,76.75
549,1055,549,15,549,79.25
550,1068,550,16,550,80
551,1072,551,17,551,73.25
552,1094,552,18,552,73
553,1139,553,20,553,68.5
554,1137,554,20,554,60
555,1114,555,21,555,56.75
556,1085,556,21,556,53.5
557,1049,557,21,557,49.25
558,1041,558,21,558,50
559,1051,559,21,559,40.75
560,1006,560,23,560,41.25
561,982,561,23,561,42.5
562,940,562,23,562,47
563,909,563,26,563,45.25
564,871,564,26,564,47.5
565,833,565,27,565,46
566,817,566,28,566,52.75
567,776,567,29,567,52
568,761,568,31,568,56.25
569,728,569,33,569,56.25
570,701,570,34,570,58.75
571,685,571,35,571,65.75
572,657,572,35,572,73.5
573,638,573,37,573,79.25
574,634,574,38,574,84.25
575,624,575,39,575,90.75
576,617,576,40,576,96.75
577,612,577,43,577,108
578,619,578,45,578,112
579,614,579,49,579,114.5
580,623,580,56,580,114.5
581,607,581,59,581,117.75
582,623,582,62,582,117.25
583,622,583,62,583,118.75
584,621,584,63,584,117.75
585,620,585,65,585,116.5
586,624,586,68,586,111
587,637,587,70,587,109.5
588,645,588,72,588,102.25
589,662,589,78,589,100
590,661,590,81,590,94.5
591,677,591,87,591,86.75
592,669,592,92,592,75.5
593,663,593,98,593,77.25
594,666,594,101,594,71.75
595,671,595,102,595,67.25
596,668,596,108,596,68.5
597,655,597,111,597,74.75
598,622,598,115,598,76
599,620,599,121,599,77.25
600,613,600,127,600,77.75
601,589,601,134,601,78.5
602,578,602,138,602,80.5
603,544,603,145,603,84.75
604,512,604,150,604,88.75
605,484,605,158,605,94
606,475,606,167,606,98.5
607,441,607,175,607,100.5
608,415,608,183,608,107.25
609,383,609,194,609,112
610,362,610,207,610,119.5
611,355,611,215,611,128
612,337,612,226,612,137.5
613,339,613,242,613,146.75
614,331,614,251,614,157
615,321,615,258,615,164.25
616,319,616,276,616,172.75
617,306,617,287,617,177.25
618,291,618,302,618,182.5
619,297,619,316,619,186.5
620,283,620,320,620,188.25
621,263,621,330,621,190.25
622,246,622,341,622,197.75
623,242,623,350,623,199.5
624,235,624,363,624,201.75
625,226,625,370,625,204.5
626,209,626,382,626,203.25
627,190,627,396,627,203.5
628,183,628,408,628,206.25
629,167,629,430,629,208.25
630,152,630,429,630,212.75
631,141,631,439,631,215.5
632,142,632,450,632,217.75
633,141,633,459,633,221.25
634,127,634,477,634,225
635,122,635,498,635,227.75
636,117,636,499,636,234.25
637,109,637,502,637,240
638,102,638,527,638,247.25
639,88,639,550,639,255
640,78,640,566,640,263.75
641,69,641,582,641,272.75
642,62,642,582,642,280
643,58,643,585,643,287.25
644,49,644,583,644,296.75
645,47,645,586,645,306.5
646,40,646,583,646,317
647,38,647,571,647,329.75
648,33,648,576,648,342.25
649,31,649,575,649,355.25
650,29,650,573,650,369
651,28,651,560,651,381.75
652,29,652,553,652,392.75
653,24,653,532,653,402.5
654,18,654,524,654,414.25
655,15,655,517,655,426.5
656,13,656,491,656,439
657,12,657,475,657,449.25
658,10,658,447,658,457.75
659,9,659,423,659,468.25
660,9,660,420,660,478
661,8,661,408,661,488.5
662,7,662,396,662,498.25
663,7,663,369,663,507.5
664,6,664,357,664,516
665,5,665,333,665,524.75
666,5,666,303,666,531.25
667,4,667,290,667,539
668,3,668,281,668,547.75
669,3,669,255,669,554.25
670,3,670,238,670,561.25
671,3,671,223,671,567
672,3,672,206,672,572.5
673,3,673,197,673,578.25
674,3,674,191,674,583.5
675,2,675,193,675,587.75
676,2,676,177,676,593
677,2,677,164,677,597
